,order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time,charge,revenue
22,1478287,150599,Shake Shack,American,29.1,Weekday,5,21,30,0.25,7.275
23,1478014,54630,Tortaria,Mexican,8.92,Weekend,Not given,33,16,0.15,1.3379999999999999
24,1476714,363783,Cafe Mogador,Middle Eastern,15.86,Weekday,Not given,32,29,0.15,2.379
25,1476693,41877,Cafe Mogador,Middle Eastern,29.1,Weekday,5,20,29,0.25,7.275
26,1476995,371590,The Meatball Shop,Italian,21.88,Weekday,5,24,27,0.25,5.47
27,1476844,175290,Otto Enoteca Pizzeria,Italian,14.02,Weekend,Not given,24,16,0.15,2.1029999999999998
28,1477015,76686,Vezzo Thin Crust Pizza,Italian,9.17,Weekend,Not given,21,24,0.15,1.3755
29,1476889,149984,Sushi of Gari 46,Japanese,12.18,Weekday,Not given,20,29,0.15,1.827
30,1478289,318874,The Kati Roll Company,Indian,31.33,Weekend,5,28,25,0.25,7.8325
31,1477699,302790,Klong,Thai,29.05,Weekend,5,35,24,0.25,7.2625
32,1476855,317794,5 Napkin Burger,American,8.39,Weekday,Not given,35,24,0.15,1.2585
33,1477748,105349,TAO,Japanese,9.12,Weekend,Not given,34,18,0.15,1.3679999999999999
34,1478244,181782,Parm,Italian,29.1,Weekend,5,30,26,0.25,7.275
35,1478310,65224,Sushi Samba,Japanese,15.47,Weekend,Not given,32,26,0.15,2.3205
36,1478017,148649,Blue Ribbon Sushi,Japanese,16.01,Weekday,4,23,31,0.15,2.4015
37,1476871,118709,The Meatball Shop,Italian,24.3,Weekday,4,31,29,0.25,6.075
38,1477999,208020,Haru Gramercy Park,Japanese,29.83,Weekday,5,20,32,0.25,7.4575
39,1476891,220693,Shake Shack,American,19.89,Weekend,Not given,27,19,0.15,2.9835
40,1477425,378482,Chipotle Mexican Grill $1.99 Delivery,Mexican,19.35,Weekend,4,21,18,0.15,2.9025000000000003
41,1478143,337525,TAO,Japanese,33.22,Weekend,Not given,23,19,0.25,8.305
42,1477267,133637,RedFarm Broadway,Chinese,24.25,Weekend,5,22,15,0.25,6.0625
43,1477728,107909,Cafeteria,American,16.44,Weekend,Not given,33,22,0.15,2.466
44,1476908,365237,Five Guys Burgers and Fries,American,22.75,Weekend,5,30,20,0.25,5.6875
45,1476581,322162,The Meatball Shop,Italian,6.74,Weekend,5,29,23,0.15,1.011
46,1476930,198802,DuMont Burger,American,29.05,Weekend,5,22,30,0.25,7.2625
47,1477621,122864,Sarabeth's East,American,13.78,Weekend,4,34,24,0.15,2.0669999999999997
48,1478354,52037,Blue Ribbon Fried Chicken,American,19.89,Weekday,Not given,27,24,0.15,2.9835
49,1477251,81110,Hill Country Fried Chicken,Southern,16.93,Weekend,5,33,21,0.15,2.5395
50,1477656,300003,Bistango,Italian,21.88,Weekend,Not given,21,19,0.25,5.47
51,1477883,91817,Blue Ribbon Fried Chicken,American,29.39,Weekend,Not given,27,28,0.25,7.3475
52,1477205,112036,TAO,Japanese,20.23,Weekend,5,22,20,0.25,5.0575
53,1478107,73895,RedFarm Broadway,Chinese,29.1,Weekend,Not given,22,23,0.25,7.275
54,1477760,130507,Jack's Wife Freda,Mediterranean,22.75,Weekend,3,35,29,0.25,5.6875
55,1476562,129486,Mamoun's Falafel,Mediterranean,14.12,Weekend,3,31,15,0.15,2.118
56,1477692,313340,Sushi of Gari 46,Japanese,14.6,Weekday,3,24,24,0.15,2.19
57,1477889,177250,RedFarm Hudson,Chinese,12.23,Weekday,5,25,33,0.15,1.8345
58,1477243,176234,Prosperity Dumpling,Chinese,14.02,Weekend,5,20,30,0.15,2.1029999999999998
59,1477560,371677,Blue Ribbon Fried Chicken,American,6.79,Weekday,Not given,33,28,0.15,1.0185
60,1476896,388918,Blue Ribbon Fried Chicken,American,24.25,Weekend,Not given,28,21,0.25,6.0625
61,1478327,68551,Blue Ribbon Sushi Bar & Grill,Japanese,33.03,Weekend,Not given,33,20,0.25,8.2575
62,1476820,152786,Cafe Habana,Mexican,31.38,Weekend,4,23,27,0.25,7.845
63,1478121,62980,Westville Hudson,American,8.34,Weekday,Not given,22,26,0.15,1.251
64,1478077,82041,Shake Shack,American,33.03,Weekday,Not given,22,32,0.25,8.2575
65,1478359,361616,Blue Ribbon Brooklyn,American,24.2,Weekday,3,22,32,0.25,6.05
66,1476841,398426,RedFarm Broadway,Chinese,12.46,Weekend,4,24,20,0.15,1.869
67,1477125,130820,Nobu Next Door,Japanese,15.86,Weekend,5,29,23,0.15,2.379
68,1477915,200074,Osteria Morini,Italian,14.55,Weekend,Not given,34,22,0.15,2.1825
69,1477475,65009,Blue Ribbon Fried Chicken,American,32.93,Weekend,5,24,23,0.25,8.2325
70,1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21,0.15,2.547
71,1476651,58092,Shake Shack,American,8.0,Weekend,5,27,23,0.15,1.2
72,1477730,50616,Parm,Italian,13.05,Weekend,Not given,28,27,0.15,1.9575
73,1477518,133202,Sushi Samba,Japanese,29.05,Weekend,5,31,16,0.25,7.2625
74,1477821,277898,Haandi,Indian,5.67,Weekday,4,23,31,0.15,0.8504999999999999
75,1477104,77341,The Meatball Shop,Italian,16.93,Weekend,Not given,30,25,0.15,2.5395
76,1477921,97079,Benihana,Japanese,29.29,Weekend,5,20,18,0.25,7.3225
77,1477938,150002,The Kati Roll Company,Indian,16.15,Weekend,5,20,29,0.15,2.4225
78,1476943,87472,RedFarm Hudson,Chinese,22.75,Weekend,Not given,31,30,0.25,5.6875
79,1477581,231061,Han Dynasty,Chinese,13.34,Weekend,4,34,27,0.15,2.001
80,1477975,56722,Shake Shack,American,9.75,Weekend,5,33,25,0.15,1.4625
81,1477601,107909,Cafeteria,American,6.69,Weekday,4,21,32,0.15,1.0035
82,1477790,133617,Shake Shack,American,4.75,Weekday,4,35,28,0.0,0.0
83,1477385,67538,Chipotle Mexican Grill $1.99 Delivery,Mexican,12.56,Weekend,5,22,18,0.15,1.884
84,1478423,129969,The Meatball Shop,Italian,21.2,Weekend,Not given,34,16,0.25,5.3
85,1477051,57174,Tortaria,Mexican,19.31,Weekend,Not given,27,28,0.15,2.8964999999999996
86,1476796,78939,Nobu Next Door,Japanese,16.3,Weekday,3,20,24,0.15,2.445
87,1478031,309513,Otto Enoteca Pizzeria,Italian,13.05,Weekday,5,33,27,0.15,1.9575
88,1477740,129798,TAO,Japanese,25.27,Weekday,4,24,24,0.25,6.3175
89,1478384,184085,Hill Country Fried Chicken,Southern,14.79,Weekend,5,35,15,0.15,2.2184999999999997
90,1478183,329710,Shake Shack,American,5.72,Weekday,3,31,24,0.15,0.858
91,1477569,65009,Chote Nawab,Indian,16.15,Weekend,5,24,30,0.15,2.4225
92,1478211,154030,RedFarm Hudson,Chinese,33.03,Weekend,4,26,22,0.25,8.2575
93,1476635,86731,Mission Cantina,Mexican,16.2,Weekend,5,31,18,0.15,2.4299999999999997
94,1477646,306119,Xi'an Famous Foods,Chinese,9.22,Weekday,Not given,31,32,0.15,1.383
95,1477027,164016,Blue Ribbon Fried Chicken,American,16.39,Weekend,Not given,27,22,0.15,2.4585
96,1476921,121476,Blue Ribbon Fried Chicken,American,12.18,Weekday,3,29,27,0.15,1.827
97,1476689,305522,Shake Shack,American,24.2,Weekday,4,29,29,0.25,6.05
98,1477767,68976,Sarabeth's East,American,17.03,Weekend,3,26,30,0.15,2.5545
99,1476582,60703,Cafe Habana,Mexican,6.79,Weekday,Not given,33,25,0.15,1.0185
100,1478169,80460,Rubirosa,Italian,21.83,Weekend,3,30,27,0.25,5.4575
101,1477702,128600,Blue Ribbon Fried Chicken,American,31.29,Weekday,Not given,22,33,0.25,7.8225
102,1477240,142356,Blue Ribbon Sushi,Japanese,11.83,Weekend,4,26,21,0.15,1.7745
103,1476564,83287,Five Guys Burgers and Fries,American,24.3,Weekend,5,30,20,0.25,6.075
104,1478408,134152,The Meatball Shop,Italian,22.26,Weekend,Not given,28,25,0.25,5.565
105,1477824,345899,TAO,Japanese,20.47,Weekend,4,26,30,0.25,5.1175
106,1477617,38050,Blue Ribbon Sushi,Japanese,12.18,Weekend,5,28,25,0.15,1.827
107,1477978,259341,Joe's Shanghai _Àü£¾÷´,Chinese,15.81,Weekend,5,20,26,0.15,2.3715
108,1477281,309513,Otto Enoteca Pizzeria,Italian,22.36,Weekend,5,26,27,0.25,5.59
109,1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27,0.15,1.3019999999999998
110,1477364,125123,Shake Shack,American,21.83,Weekend,Not given,23,22,0.25,5.4575
111,1476715,365244,Bareburger,American,16.3,Weekday,Not given,20,28,0.15,2.445
112,1476654,63020,The Odeon,American,12.9,Weekday,3,31,28,0.15,1.935
113,1477296,222879,Parm,Italian,29.15,Weekday,5,23,27,0.25,7.2875
114,1478321,275535,Pongsri Thai,Thai,13.05,Weekday,4,31,24,0.15,1.9575
115,1477942,49793,Yama Japanese Restaurant,Japanese,22.36,Weekend,5,30,16,0.25,5.59
116,1477552,137565,Shake Shack,American,31.29,Weekday,Not given,26,32,0.25,7.8225
117,1476770,65009,Blue Ribbon Fried Chicken,American,7.86,Weekday,4,22,33,0.15,1.179
118,1476558,214394,Yama Japanese Restaurant,Japanese,16.1,Weekend,Not given,33,27,0.15,2.415
119,1477993,91907,Momoya,Japanese,16.98,Weekday,5,31,32,0.15,2.547
120,1478072,82041,Osteria Morini,Italian,12.95,Weekend,5,26,28,0.15,1.9425
121,1476935,59419,Blue Ribbon Fried Chicken,American,11.69,Weekend,5,21,24,0.15,1.7534999999999998
122,1477255,50199,Five Guys Burgers and Fries,American,12.13,Weekend,Not given,26,15,0.15,1.8195000000000001
123,1477012,325210,The Meatball Shop,American,12.32,Weekend,Not given,31,19,0.15,1.8479999999999999
124,1477704,100999,Balthazar Boulangerie,French,12.13,Weekend,Not given,22,27,0.15,1.8195000000000001
125,1477188,146588,Sushi of Gari,Japanese,12.18,Weekday,5,25,24,0.15,1.827
126,1478348,310051,Parm,Italian,14.99,Weekend,Not given,34,24,0.15,2.2485
127,1477405,128243,The Meatball Shop,Italian,6.74,Weekend,5,26,30,0.15,1.011
128,1476826,53543,CafÌ© China,Chinese,24.3,Weekend,Not given,20,23,0.25,6.075
129,1478340,230535,Shake Shack,American,10.38,Weekend,3,24,29,0.15,1.5570000000000002
130,1477044,127122,RedFarm Broadway,Chinese,6.79,Weekend,5,33,28,0.15,1.0185
131,1476978,177250,RedFarm Hudson,Chinese,25.27,Weekend,Not given,34,28,0.25,6.3175
132,1477287,111125,Otto Enoteca Pizzeria,Italian,14.99,Weekend,Not given,29,21,0.15,2.2485
133,1477110,144997,RedFarm Hudson,Chinese,29.05,Weekend,4,22,28,0.25,7.2625
134,1476555,97991,Blue Ribbon Sushi Bar & Grill,Japanese,9.65,Weekend,Not given,25,26,0.15,1.4475
135,1476862,58533,The Meatball Shop,Italian,29.2,Weekend,Not given,31,24,0.25,7.3
136,1477117,104336,Nobu Next Door,Japanese,5.77,Weekday,4,29,24,0.15,0.8654999999999999
137,1478402,232582,CafÌ© China,Chinese,32.93,Weekday,3,26,28,0.25,8.2325
138,1477431,195927,Boqueria,Spanish,12.13,Weekend,5,30,20,0.15,1.8195000000000001
139,1477836,373689,Bareburger,American,12.08,Weekend,Not given,29,20,0.15,1.8119999999999998
140,1477376,370372,Blue Ribbon Fried Chicken,American,11.59,Weekday,Not given,25,24,0.15,1.7385
141,1476835,264707,TAO,Japanese,9.56,Weekend,5,21,17,0.15,1.434
142,1477177,42385,Song Thai Restaurant & Bar,Thai,24.2,Weekend,5,21,26,0.25,6.05
143,1478174,104555,Sushi of Gari,Japanese,29.34,Weekday,Not given,32,25,0.25,7.335
144,1478269,250494,The Meatball Shop,Italian,11.16,Weekday,5,22,28,0.15,1.674
145,1477369,139085,Shake Shack,American,24.25,Weekday,Not given,32,24,0.25,6.0625
146,1476969,198309,Blue Ribbon Sushi,Japanese,29.2,Weekend,Not given,22,25,0.25,7.3
147,1477420,399478,Shake Shack,American,14.07,Weekend,Not given,25,28,0.15,2.1105
148,1476663,40010,Parm,Italian,19.35,Weekend,4,35,19,0.15,2.9025000000000003
149,1477904,48131,RedFarm Hudson,Chinese,16.1,Weekend,4,23,29,0.15,2.415
150,1478219,41692,Shake Shack,American,22.8,Weekend,Not given,30,19,0.25,5.7
151,1477206,61305,Blue Ribbon Sushi Bar & Grill,Japanese,15.23,Weekend,Not given,30,19,0.15,2.2845
152,1477337,123780,Five Guys Burgers and Fries,American,33.03,Weekend,Not given,29,25,0.25,8.2575
153,1476809,385248,Shake Shack,American,12.95,Weekend,Not given,27,18,0.15,1.9425
154,1477750,97806,Shake Shack,American,16.49,Weekend,5,32,22,0.15,2.4734999999999996
155,1476817,97079,Benihana,Japanese,29.05,Weekend,Not given,25,26,0.25,7.2625
156,1476659,52463,RedFarm Broadway,Chinese,31.33,Weekend,3,33,23,0.25,7.8325
157,1477609,105068,TAO,Japanese,16.01,Weekend,Not given,26,16,0.15,2.4015
158,1477616,128600,Tamarind TriBeCa,Indian,14.07,Weekend,4,26,21,0.15,2.1105
159,1476769,71791,Sushi of Gari 46,Japanese,8.83,Weekday,Not given,31,33,0.15,1.3245
160,1477185,362068,The Kati Roll Company,Indian,33.03,Weekend,Not given,35,21,0.25,8.2575
161,1477752,298824,Shake Shack,American,16.25,Weekday,3,30,24,0.15,2.4375
162,1477239,94524,The Meatball Shop,Italian,22.36,Weekend,4,28,18,0.25,5.59
163,1476590,342107,The Kati Roll Company,Indian,16.83,Weekend,4,26,20,0.15,2.5244999999999997
164,1478305,62359,Rubirosa,Italian,8.0,Weekday,4,27,29,0.15,1.2
165,1476751,347181,Blue Ribbon Sushi,Japanese,16.01,Weekend,Not given,29,22,0.15,2.4015
166,1477831,60052,RedFarm Broadway,Chinese,16.01,Weekday,4,23,27,0.15,2.4015
167,1477955,198936,Five Leaves,American,10.24,Weekday,Not given,22,25,0.15,1.536
168,1476568,348787,Otto Enoteca Pizzeria,Italian,19.4,Weekday,4,32,28,0.15,2.9099999999999997
169,1478391,184325,Pinto Nouveau Thai Bistro,Thai,19.35,Weekend,4,34,24,0.15,2.9025000000000003
170,1476725,42935,Barbounia,Mediterranean,13.97,Weekend,5,29,25,0.15,2.0955
171,1476688,200672,Cafe Mogador,Middle Eastern,13.0,Weekend,Not given,21,15,0.15,1.95
172,1477102,75484,Five Guys Burgers and Fries,American,13.05,Weekend,Not given,34,27,0.15,1.9575
173,1476878,378027,RedFarm Broadway,Chinese,8.49,Weekend,Not given,24,16,0.15,1.2735
174,1476805,93133,Parm,Italian,22.8,Weekday,5,33,33,0.25,5.7
175,1478093,268958,Barbounia,Mediterranean,20.18,Weekend,5,29,19,0.25,5.045
176,1478201,370017,RedFarm Broadway,Chinese,19.59,Weekend,5,24,19,0.15,2.9385
177,1478032,146586,Dirty Bird to Go,American,19.4,Weekend,4,25,19,0.15,2.9099999999999997
178,1476606,350085,The Meatball Shop,Italian,17.03,Weekday,Not given,22,29,0.15,2.5545
179,1477570,292343,Amy Ruth's,Southern,16.11,Weekend,4,30,26,0.15,2.4164999999999996
180,1476808,84700,Pepe Giallo,Italian,14.6,Weekday,3,32,24,0.15,2.19
181,1476610,53212,TAO,Japanese,12.27,Weekday,Not given,26,29,0.15,1.8404999999999998
182,1476875,373353,indikitch,Indian,22.26,Weekend,Not given,35,16,0.25,5.565
183,1476829,79255,The Meatball Shop,Italian,6.79,Weekend,Not given,26,15,0.15,1.0185
184,1477366,275689,Han Dynasty,Chinese,14.12,Weekend,4,35,19,0.15,2.118
185,1477774,354719,The Meatball Shop,Italian,29.15,Weekend,5,34,20,0.25,7.2875
186,1477209,17495,Prosperity Dumpling,Chinese,12.18,Weekday,Not given,26,24,0.15,1.827
187,1478334,352247,Chipotle Mexican Grill $1.99 Delivery,Mexican,25.22,Weekend,4,27,22,0.25,6.305
188,1477872,300670,Shake Shack,American,13.39,Weekend,Not given,30,22,0.15,2.0085
189,1478417,87747,Blue Ribbon Fried Chicken,American,9.02,Weekend,5,31,15,0.15,1.353
190,1477401,326426,Sushi of Gari,Japanese,29.15,Weekend,Not given,34,24,0.25,7.2875
191,1477764,131645,Yama 49,Japanese,13.0,Weekday,5,24,32,0.15,1.95
192,1477835,129518,Blue Ribbon Fried Chicken,American,15.33,Weekday,4,24,29,0.15,2.2995
193,1476997,103005,Yama Japanese Restaurant,Japanese,14.55,Weekend,5,20,28,0.15,2.1825
194,1477519,140477,Momoya,Japanese,31.43,Weekend,Not given,24,17,0.25,7.8575
195,1477004,250494,Five Guys Burgers and Fries,American,33.03,Weekend,5,29,15,0.25,8.2575
196,1477536,105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26,0.15,2.3865
197,1478313,160957,Momoya,Japanese,12.18,Weekend,4,27,25,0.15,1.827
198,1477290,361509,Shake Shack,American,19.35,Weekday,Not given,35,33,0.15,2.9025000000000003
199,1476648,169478,RedFarm Broadway,Chinese,19.35,Weekend,Not given,24,28,0.15,2.9025000000000003
200,1476657,91192,Hill Country Fried Chicken,Southern,29.35,Weekend,4,26,24,0.25,7.3375
201,1478089,134294,Shake Shack,American,15.28,Weekday,4,30,29,0.15,2.292
202,1478026,365225,Pepe Rosso To Go,Italian,12.23,Weekday,3,24,24,0.15,1.8345
203,1477768,279895,Shake Shack,American,9.6,Weekday,4,35,28,0.15,1.44
204,1477424,81110,Han Dynasty,Chinese,12.95,Weekend,Not given,20,25,0.15,1.9425
205,1478378,384391,Shake Shack,American,8.88,Weekend,5,27,23,0.15,1.332
206,1477493,328357,Shake Shack,American,15.96,Weekend,3,30,21,0.15,2.394
207,1478092,41318,Jack's Wife Freda,Mediterranean,15.47,Weekend,5,33,16,0.15,2.3205
208,1477150,92832,Five Guys Burgers and Fries,American,12.23,Weekend,5,22,22,0.15,1.8345
209,1478157,58871,Shake Shack,American,8.05,Weekday,4,25,27,0.15,1.2075
210,1478343,231042,Momoya,Japanese,8.54,Weekday,4,28,29,0.15,1.281
211,1476860,336162,Nobu Next Door,Japanese,29.15,Weekday,5,28,25,0.25,7.2875
212,1477675,76907,Han Dynasty,Chinese,7.23,Weekend,5,21,18,0.15,1.0845
213,1476799,389740,L'Express,French,19.69,Weekend,3,26,17,0.15,2.9535
214,1476598,41168,Parm,Italian,12.13,Weekend,3,34,22,0.15,1.8195000000000001
215,1477277,59749,Bareburger,American,16.49,Weekday,Not given,31,27,0.15,2.4734999999999996
216,1476682,86731,Mission Cantina,Mexican,12.08,Weekend,Not given,30,18,0.15,1.8119999999999998
217,1477047,42832,5 Napkin Burger,American,9.27,Weekend,Not given,34,30,0.15,1.3904999999999998
218,1478173,91005,Han Dynasty,Chinese,24.25,Weekend,5,33,26,0.25,6.0625
219,1477528,128963,Han Dynasty,Chinese,5.67,Weekday,4,21,31,0.15,0.8504999999999999
220,1478426,124085,Blue Ribbon Sushi Bar & Grill,Japanese,14.12,Weekend,3,21,24,0.15,2.118
221,1476696,231061,Han Dynasty,Chinese,33.03,Weekday,Not given,33,31,0.25,8.2575
222,1478189,105138,Han Dynasty,Chinese,8.97,Weekend,4,33,19,0.15,1.3455000000000001
223,1477532,95164,Amma,Indian,8.88,Weekday,4,27,24,0.15,1.332
224,1477324,263426,Blue Ribbon Sushi Izakaya,Japanese,12.13,Weekday,5,30,29,0.15,1.8195000000000001
225,1476698,142461,Delicatessen,American,11.64,Weekend,Not given,27,27,0.15,1.746
226,1478290,263199,Sushi of Gari 46,Japanese,31.43,Weekend,4,35,23,0.25,7.8575
227,1476919,387227,Blue Ribbon Sushi Bar & Grill,Japanese,13.15,Weekend,5,30,30,0.15,1.9725
228,1477247,385559,Blue Ribbon Fried Chicken,American,14.02,Weekend,5,20,28,0.15,2.1029999999999998
229,1477794,127149,Sarabeth's East,American,9.41,Weekend,Not given,25,16,0.15,1.4115
230,1477048,200074,Osteria Morini,Italian,9.07,Weekend,Not given,33,16,0.15,1.3605
231,1477615,136876,Rubirosa,Italian,14.07,Weekend,5,35,16,0.15,2.1105
232,1476566,103884,S'MAC,American,14.46,Weekend,Not given,34,17,0.15,2.169
233,1477310,38612,Vanessa's Dumplings,Chinese,6.7,Weekend,5,20,17,0.15,1.005
234,1477758,334619,Blue Ribbon Sushi Izakaya,Japanese,14.07,Weekday,4,24,26,0.15,2.1105
235,1477765,92996,Tamarind TriBeCa,Indian,19.45,Weekend,4,29,19,0.15,2.9175
236,1476753,195723,Cafe Habana,Mexican,13.97,Weekday,3,34,28,0.15,2.0955
237,1476759,268958,Sushi of Gari 46,Japanese,12.22,Weekend,4,24,20,0.15,1.833
238,1477333,111356,Bhatti Indian Grill,Indian,29.25,Weekend,5,21,15,0.25,7.3125
239,1476830,361509,Cafeteria,American,17.03,Weekend,Not given,34,20,0.15,2.5545
240,1478227,367591,Taro Sushi,Japanese,16.05,Weekday,5,35,32,0.15,2.4075
241,1476789,103005,Yama Japanese Restaurant,Japanese,17.08,Weekend,5,28,15,0.15,2.562
242,1477603,399121,Blue Ribbon Sushi,Japanese,11.3,Weekday,Not given,24,24,0.15,1.695
243,1478246,260680,Delicatessen,American,32.98,Weekend,5,34,16,0.25,8.245
244,1476931,124838,Hill Country Fried Chicken,Southern,29.15,Weekend,5,33,25,0.25,7.2875
245,1477029,295111,The Meatball Shop,Italian,13.0,Weekday,5,23,26,0.15,1.95
246,1476849,42052,Pepe Rosso To Go,Italian,13.73,Weekend,Not given,21,28,0.15,2.0595
247,1478179,52832,Han Dynasty,Chinese,12.23,Weekend,3,33,27,0.15,1.8345
248,1477679,120833,Bareburger,American,16.25,Weekend,Not given,29,15,0.15,2.4375
249,1477810,94483,Bistango,Italian,24.2,Weekend,Not given,28,21,0.25,6.05
250,1477342,49631,The Meatball Shop,Italian,14.31,Weekend,Not given,23,17,0.15,2.1465
251,1478133,114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20,0.15,2.9099999999999997
252,1477756,251607,Shake Shack,American,14.12,Weekday,Not given,31,28,0.15,2.118
253,1477721,72339,Donburi-ya,Japanese,14.7,Weekend,Not given,30,27,0.15,2.2049999999999996
254,1476952,229946,Balthazar Boulangerie,French,15.52,Weekend,Not given,21,29,0.15,2.328
255,1477587,92726,Hatsuhana,Japanese,8.97,Weekend,4,25,26,0.15,1.3455000000000001
256,1478210,320493,Vanessa's Dumplings,Chinese,29.2,Weekday,Not given,27,30,0.25,7.3
257,1477887,69348,RedFarm Broadway,Chinese,11.64,Weekend,3,26,21,0.15,1.746
258,1478366,270149,Samurai Mama,Japanese,11.64,Weekend,5,21,18,0.15,1.746
259,1478279,354016,Waverly Diner,American,19.4,Weekend,5,25,23,0.15,2.9099999999999997
260,1476819,104548,Tarallucci e Vino Restaurant,Italian,29.1,Weekday,Not given,28,33,0.25,7.275
261,1477394,105754,Momoya,Japanese,14.02,Weekday,4,24,30,0.15,2.1029999999999998
262,1476667,157578,P.J. Clarke's,American,6.11,Weekend,4,27,25,0.15,0.9165
263,1476975,350373,Blue Ribbon Fried Chicken,American,12.23,Weekend,4,21,26,0.15,1.8345
264,1477909,47440,Blue Ribbon Fried Chicken,American,12.18,Weekend,Not given,31,23,0.15,1.827
265,1476579,85633,The Meatball Shop,Italian,24.2,Weekend,5,24,24,0.25,6.05
266,1477286,110091,The Meatball Shop,Italian,12.18,Weekend,Not given,27,17,0.15,1.827
267,1478436,95164,Amma,Indian,17.03,Weekend,Not given,28,19,0.15,2.5545
268,1476685,96877,The Meatball Shop,Italian,22.26,Weekday,4,30,26,0.25,5.565
269,1477912,261400,The Meatball Shop,Italian,19.45,Weekday,5,31,32,0.15,2.9175
270,1476892,177078,Lantern Thai Kitchen,Thai,21.93,Weekday,Not given,22,25,0.25,5.4825
271,1476882,68429,Shake Shack,American,15.76,Weekend,5,24,22,0.15,2.364
272,1477314,52832,ilili Restaurant,Middle Eastern,9.46,Weekday,4,25,25,0.15,1.419
273,1477712,373633,Yama 49,Japanese,12.61,Weekday,5,23,28,0.15,1.8914999999999997
274,1477057,390490,Blue Ribbon Brooklyn,American,22.85,Weekend,3,23,19,0.25,5.7125
275,1477926,72639,P.J. Clarke's,American,12.18,Weekend,3,22,28,0.15,1.827
276,1477273,95644,RedFarm Broadway,Chinese,12.61,Weekday,Not given,26,27,0.15,1.8914999999999997
277,1478003,129597,Otto Enoteca Pizzeria,Italian,12.13,Weekend,5,33,21,0.15,1.8195000000000001
278,1477522,101084,RedFarm Hudson,Chinese,12.13,Weekend,Not given,20,22,0.15,1.8195000000000001
279,1476947,46859,The Meatball Shop,Italian,8.54,Weekday,5,24,29,0.15,1.281
280,1478295,117810,Momoya,Japanese,19.35,Weekday,Not given,29,24,0.15,2.9025000000000003
281,1476551,49034,The Smile,American,12.18,Weekend,Not given,22,27,0.15,1.827
282,1476846,82041,Parm,Italian,22.8,Weekend,Not given,35,20,0.25,5.7
283,1476974,142461,Shake Shack,American,12.13,Weekend,4,32,15,0.15,1.8195000000000001
284,1478005,97991,Blue Ribbon Sushi Bar & Grill,Japanese,19.45,Weekday,5,34,27,0.15,2.9175
285,1476653,113972,RedFarm Hudson,Chinese,12.13,Weekend,3,31,25,0.15,1.8195000000000001
286,1476563,114085,Blue Ribbon Sushi Bar & Grill,Japanese,12.18,Weekend,Not given,24,18,0.15,1.827
287,1478440,231042,Momoya,Japanese,12.13,Weekend,5,22,21,0.15,1.8195000000000001
